Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Harris	173	47	3	118.704	39.6293	79.0682
Harris	174	47	3	120.262	40.0789	80.1777
Harris	175	49	1	120.498	40.4631	80.029
Harris	176	50	0	41.5329	41.5234	0.004917
Harris	177	50	0	40.8396	40.8314	0.004
Harris	178	50	0	40.7028	40.6941	0.0045
Harris	179	50	0	40.9477	40.939	0.003917
Harris	180	50	0	41.4497	41.4405	0.004083
Harris	181	50	0	41.8437	41.8355	0.004
Harris	182	47	3	122.905	43.092	79.8064
Harris	183	48	2	121.467	41.1587	80.3028
Harris	184	48	2	119.86	41.8793	77.9749
Harris	185	49	1	121.608	42.2582	79.3442
Harris	186	50	0	43.2524	43.2435	0.004583
Harris	187	50	0	43.9809	43.9713	0.004209
Harris	188	50	0	45.7674	45.759	0.004375
Harris	189	50	0	48.5759	48.5678	0.003792
Harris	190	48	2	125.241	45.0057	80.2281
Harris	191	48	2	122.281	41.9798	80.2952
Harris	192	49	1	123.048	44.6046	78.4375
Harris	193	49	1	121.925	42.6395	79.2794
Harris	194	50	0	42.8294	42.8193	0.005417
Harris	195	50	0	43.3979	43.389	0.004334
Harris	196	48	2	120.759	42.6504	78.1034
Harris	197	49	1	121.883	42.859	79.0181
Harris	198	50	0	43.2644	43.2561	0.004292
Harris	199	50	0	43.0831	43.0752	0.003666
Harris	200	50	0	43.4782	43.4693	0.004708
Harris	201	50	0	45.782	45.7737	0.00425
Harris	202	50	0	43.6544	43.6458	0.0045
Harris	203	50	0	42.8407	42.8323	0.004249
Harris	204	50	0	41.3858	41.3773	0.004333
Harris	205	50	0	42.376	42.3682	0.003792
Harris	206	50	0	43.0508	43.042	0.004375
Harris	207	49	1	121.718	41.8719	79.8409
Harris	208	50	0	41.7862	41.7771	0.004542
Harris	209	50	0	40.4039	40.3943	0.005125
Harris	210	50	0	41.318	41.3098	0.00425
Harris	211	50	0	47.9748	47.9666	0.003708
Harris	212	50	0	41.8892	41.8805	0.004084
Harris	213	50	0	40.5224	40.5137	0.004375
Harris	214	50	0	41.4991	41.4906	0.004208
Harris	215	47	3	120.96	40.8919	80.0628
Harris	216	47	3	118.137	39.9575	78.1738
Harris	217	49	1	119.312	40.0917	79.2153
Harris	218	50	0	40.7451	40.7362	0.00475
Harris	219	50	0	41.2735	41.2659	0.00375
Harris	220	50	0	41.2167	41.2086	0.004083
Harris	221	44	6	122.305	43.2005	79.0985
Harris	222	46	4	124.28	44.1697	80.104
Harris	223	46	4	121.747	41.319	80.4226
Harris	224	45	5	124.872	46.55	78.3171
Harris	225	43	7	123.073	43.7583	79.3089
Harris	226	40	10	120.045	40.1097	79.9286
Harris	227	43	7	118.994	39.0212	79.9667
Harris	228	43	7	117.032	38.9256	78.1008
Harris	229	42	8	119.67	40.4455	79.2183
Harris	230	46	4	121.005	40.7431	80.2567
Harris	231	47	3	119.643	39.6282	80.0084
Harris	232	48	2	118.291	39.9721	78.3125
Harris	233	49	1	119.781	40.1719	79.6033
Harris	234	48	2	120.133	40.4253	79.7023
Harris	235	49	1	120.064	40.1429	79.9153
Harris	236	50	0	40.5026	40.4936	0.004667
Harris	237	49	1	119.773	40.238	79.529
Harris	238	50	0	39.5728	39.5625	0.005833
Harris	239	50	0	42.9447	42.9356	0.004458
Harris	240	50	0	41.5326	41.5238	0.004542
Harris	241	49	1	120.114	41.0086	79.0994
Harris	242	50	0	40.5558	40.5468	0.004583
Harris	243	50	0	41.0729	41.0645	0.004208
Harris	244	50	0	41.1853	41.1746	0.005792
Harris	245	50	0	39.8594	39.8516	0.003541
Harris	246	50	0	40.9719	40.9609	0.005709
Harris	247	50	0	40.3677	40.3572	0.005667
Harris	248	50	0	40.2633	40.2549	0.003958
Harris	249	50	0	40.2794	40.2715	0.003709
Harris	250	50	0	40.7248	40.7131	0.006125
Harris	251	50	0	39.6032	39.5943	0.004666
Harris	252	50	0	39.9061	39.8963	0.004833
Harris	253	50	0	39.1489	39.1397	0.004542
Harris	254	50	0	39.0953	39.0862	0.004416
Harris	255	50	0	39.4915	39.483	0.004083
Harris	256	50	0	41.3068	41.2973	0.004875
Harris	257	50	0	40.8065	40.7984	0.003834
Harris	258	50	0	41.1058	41.0966	0.003958
Harris	259	50	0	40.4079	40.3994	0.003833
Harris	260	50	0	39.91	39.9013	0.004375
Harris	261	50	0	39.2996	39.2907	0.004249
Harris	262	50	0	39.1471	39.136	0.005958
Harris	263	50	0	39.3971	39.3883	0.004375
Harris	264	50	0	41.8563	41.847	0.005084
Harris	265	50	0	39.2145	39.2069	0.003542
Harris	266	50	0	39.9089	39.9002	0.004042
Harris	267	50	0	40.0316	40.0239	0.0035
Harris	268	50	0	39.9321	39.9238	0.003958
Harris	269	50	0	39.5797	39.5719	0.003833
Harris	270	50	0	40.1729	40.1637	0.004166
Harris	271	50	0	39.6255	39.6175	0.003833
Harris	272	50	0	38.3326	38.3242	0.004167
Harris	273	50	0	38.5321	38.5239	0.003584
Harris	274	50	0	38.2511	38.2418	0.004375
Harris	275	50	0	39.5203	39.511	0.005208
Harris	276	50	0	39.6139	39.6054	0.004167
Harris	277	50	0	39.3083	39.3002	0.003875
Harris	278	50	0	39.6365	39.6279	0.004209
Harris	279	50	0	39.6392	39.6306	0.004291
Harris	280	50	0	39.1869	39.1783	0.004417
Harris	281	50	0	39.6799	39.6717	0.003458
Harris	282	50	0	39.7496	39.741	0.003875
Harris	283	50	0	39.6499	39.6406	0.004208
Harris	284	50	0	39.9196	39.911	0.003999
Harris	285	50	0	38.9346	38.9266	0.003874
Harris	286	50	0	39.0598	39.051	0.003875
Harris	287	50	0	38.6703	38.6623	0.003541
Harris	288	50	0	40.0343	40.0265	0.003875
Harris	289	50	0	39.4325	39.4246	0.003583
Harris	290	50	0	39.016	39.0065	0.00475
Harris	291	50	0	39.4125	39.4036	0.004375
Harris	292	50	0	39.3985	39.3895	0.004166
Harris	293	50	0	39.5448	39.5371	0.003625
Harris	294	50	0	39.6958	39.6866	0.004375
Harris	295	50	0	39.9457	39.9372	0.003958
Harris	296	50	0	39.8897	39.8797	0.005
Harris	297	50	0	40.4549	40.4458	0.00425
Harris	298	50	0	40.6818	40.6736	0.003625
Harris	299	50	0	39.8038	39.7958	0.00375
Harris	300	50	0	40.5094	40.5006	0.00425
Harris	301	50	0	40.1743	40.1662	0.003959
Harris	302	50	0	40.5491	40.5402	0.004041
Harris	303	50	0	39.2322	39.2238	0.003875
Harris	304	50	0	40.0892	40.0806	0.004333
Harris	305	50	0	39.7059	39.6972	0.004042
Harris	306	50	0	39.2052	39.1962	0.00425
Harris	307	50	0	39.5075	39.4997	0.003541
Harris	308	50	0	40.1424	40.1336	0.004333
Harris	309	50	0	39.5895	39.5807	0.003958
Harris	310	50	0	40.6335	40.6249	0.004291
Harris	311	50	0	40.5327	40.5241	0.004209
Harris	312	50	0	42.2144	42.2057	0.004458
Harris	313	50	0	41.2246	41.2146	0.005417
Harris	314	50	0	41.5976	41.5882	0.005041
Harris	315	50	0	41.7556	41.7473	0.004083
Harris	316	50	0	42.183	42.1748	0.003958
Harris	317	50	0	42.6669	42.6591	0.0035
Harris	318	50	0	45.2318	45.2215	0.005208
Harris	319	50	0	44.4769	44.4682	0.004084
Harris	320	50	0	42.6559	42.6468	0.004458
Harris	321	49	1	120.8	42.0137	78.7806
Harris	322	49	1	121.779	42.2693	79.5037
Harris	323	46	4	121.024	41.4434	79.5743
Harris	324	48	2	118.405	40.7517	77.6474
Harris	325	49	1	119.802	40.8329	78.9635
Harris	326	50	0	40.5649	40.5556	0.004708
Harris	327	50	0	40.8705	40.8611	0.004292
Harris	328	50	0	42.4078	42.3992	0.004209
Harris	329	50	0	41.4966	41.4885	0.003583
Harris	330	49	1	121.433	41.3393	80.0887
Harris	331	50	0	40.9895	40.9796	0.005167
Harris	332	50	0	42.129	42.1202	0.004542
Harris	333	50	0	43.1634	43.1544	0.004
Harris	334	50	0	44.4926	44.4834	0.004625
Harris	335	49	1	121.835	42.3615	79.4676
Harris	336	50	0	40.7589	40.7487	0.0055
Harris	337	50	0	40.3389	40.3302	0.004
Harris	338	50	0	41.4291	41.4201	0.004542
Harris	339	50	0	41.0957	41.0858	0.005041
