Name	frame_num	pts_tracked	loop_time	track_time
Harris	68	8	6.42613	6.41729
Harris	69	8	6.53425	6.52817
Harris	70	8	6.56517	6.55912
Harris	71	8	7.14487	7.1382
Harris	72	8	7.21179	7.1997
Harris	73	8	6.87596	6.86941
Harris	74	8	6.50992	6.50437
Harris	75	8	6.79112	6.78225
Harris	76	8	6.93687	6.92716
Harris	77	8	6.70096	6.69546
Harris	78	8	6.7055	6.69887
Harris	79	8	6.55958	6.55346
Harris	80	8	8.55315	8.54286
Harris	81	8	7.42204	7.41241
Harris	82	8	7.15316	7.14733
Harris	83	8	6.82704	6.81875
Harris	84	8	6.65592	6.64946
Harris	85	8	6.96496	6.95504
Harris	86	8	6.68654	6.67933
Harris	87	8	7.86128	7.85445
Harris	88	8	6.48092	6.47417
Harris	89	8	7.72687	7.71374
Harris	90	8	8.47603	8.4682
Harris	91	8	6.84954	6.84233
Harris	92	8	6.38746	6.38042
Harris	93	8	6.49421	6.48792
Harris	94	8	7.19312	7.18287
Harris	95	8	7.29979	7.29329
Harris	96	8	7.78632	7.7787
Harris	97	8	7.41849	7.41216
Harris	98	8	7.60216	7.58995
Harris	99	8	7.86608	7.85891
Harris	100	8	8.13278	8.12611
Harris	101	8	7.17687	7.17045
Harris	102	8	6.42779	6.42154
Harris	103	8	7.67387	7.66383
Harris	104	8	6.66708	6.66058
Harris	105	8	7.24758	7.24099
Harris	106	8	6.81033	6.80329
Harris	107	8	8.6409	8.62994
Harris	108	8	8.92886	8.92036
Harris	109	8	7.66649	7.65999
Harris	110	8	7.36866	7.35933
Harris	111	8	6.60375	6.59737
Harris	112	8	7.04195	7.03146
Harris	113	8	7.18262	7.1757
Harris	114	8	7.03346	7.02687
Harris	115	8	7.14133	7.13525
Harris	116	8	7.81041	7.79841
Harris	117	8	7.20179	7.19091
Harris	118	8	6.53896	6.53137
Harris	119	8	6.49596	6.48875
Harris	120	8	6.44738	6.44058
Harris	121	8	7.189	7.17954
Harris	122	8	8.07141	8.06453
Harris	123	8	6.16313	6.15704
Harris	124	8	6.48546	6.47933
Harris	125	8	7.99895	7.98832
Harris	126	8	7.17508	7.1615
Harris	127	7	7.2042	7.19783
Harris	128	7	7.06779	7.06191
Harris	129	7	6.12192	6.11575
Harris	130	7	5.941	5.93471
Harris	131	7	6.99587	6.9895
Harris	132	7	7.04329	7.03787
Harris	133	7	7.21249	7.20287
Harris	134	7	6.81871	6.80883
Harris	135	7	6.14313	6.13663
Harris	136	7	6.10179	6.09588
Harris	137	7	5.89813	5.89217
Harris	138	7	7.84024	7.83124
Harris	139	7	6.24121	6.2335
Harris	140	7	6.44913	6.44342
Harris	141	7	6.31246	6.30592
Harris	142	7	7.71166	7.70212
Harris	143	6	7.34504	7.33691
Harris	144	6	6.40817	6.40104
Harris	145	6	5.73201	5.72467
Harris	146	6	5.55988	5.5538
Harris	147	6	6.37867	6.36883
Harris	148	6	6.671	6.66475
Harris	149	6	7.42999	7.42362
Harris	150	6	5.68888	5.68234
Harris	151	6	6.91316	6.90096
Harris	152	6	6.04375	6.0325
Harris	153	6	5.53238	5.52663
Harris	154	6	5.65117	5.64567
Harris	155	6	5.46892	5.46272
Harris	156	6	6.15842	6.14858
Harris	157	6	6.1155	6.10838
Harris	158	6	6.09067	6.08417
Harris	159	6	5.71696	5.71109
Harris	160	6	7.4122	7.40008
Harris	161	6	6.32513	6.31338
Harris	162	6	5.7063	5.70042
Harris	163	6	5.78092	5.77421
Harris	164	6	5.82063	5.81471
Harris	165	6	6.30434	6.29508
Harris	166	6	5.57067	5.5633
Harris	167	6	6.016	6.00913
Harris	168	6	7.94549	7.93924
Harris	169	6	7.43079	7.41987
Harris	170	6	6.27725	6.26796
Harris	171	6	6.44504	6.43854
Harris	172	6	5.84317	5.83659
Harris	173	6	5.69226	5.68617
Harris	174	6	6.24554	6.23663
Harris	175	5	6.07529	6.06871
Harris	176	5	5.96759	5.96142
