Name	frame_num	pts_tracked	loop_time	track_time
Harris	225	2	17.2308	17.2233
Name	frame_num	pts_tracked	loop_time	track_time
Shi Tomasi	0	50	29.1654	29.1587
Shi Tomasi	1	50	40.5168	40.5103
Shi Tomasi	2	50	39.287	39.2806
Shi Tomasi	3	50	39.1915	39.1853
Shi Tomasi	4	50	39.1863	39.179
Shi Tomasi	5	50	39.4209	39.4124
Shi Tomasi	6	50	40.0768	40.0701
Shi Tomasi	7	50	40.1618	40.1553
Shi Tomasi	8	50	40.6364	40.6301
Shi Tomasi	9	50	37.6403	37.6338
Shi Tomasi	10	50	38.5252	38.5176
Shi Tomasi	11	50	37.1606	37.1534
Shi Tomasi	12	50	36.3143	36.3069
Shi Tomasi	13	50	37.0295	37.0215
Shi Tomasi	14	50	37.6441	37.6361
Shi Tomasi	15	50	36.4218	36.4143
Shi Tomasi	16	50	37.913	37.9057
Shi Tomasi	17	50	37.1111	37.104
Shi Tomasi	18	50	37.2387	37.2314
Shi Tomasi	19	50	37.4299	37.4225
Shi Tomasi	20	50	38.1367	38.1297
Shi Tomasi	21	50	37.0065	36.999
Shi Tomasi	22	50	37.1955	37.1882
Shi Tomasi	23	50	36.5225	36.5148
Shi Tomasi	24	50	37.17	37.1625
Shi Tomasi	25	50	36.7388	36.7318
Shi Tomasi	26	50	35.6548	35.6471
Shi Tomasi	27	50	35.7511	35.7441
Shi Tomasi	28	50	35.6522	35.6445
Shi Tomasi	29	50	35.5168	35.5093
Shi Tomasi	30	50	35.5883	35.5809
Shi Tomasi	31	50	35.2267	35.2189
Shi Tomasi	32	50	35.4328	35.4247
Shi Tomasi	33	50	34.5512	34.5431
Shi Tomasi	34	50	34.18	34.1729
Shi Tomasi	35	50	34.3822	34.3753
Shi Tomasi	36	50	36.1091	36.1017
Shi Tomasi	37	50	35.6051	35.5984
Shi Tomasi	38	50	36.6249	36.6182
Shi Tomasi	39	50	36.4303	36.4238
Shi Tomasi	40	50	35.9473	35.9405
Shi Tomasi	41	50	35.5702	35.5631
Shi Tomasi	42	50	35.6418	35.6345
Shi Tomasi	43	50	35.3023	35.2943
Shi Tomasi	44	50	35.9402	35.9337
Shi Tomasi	45	50	36.1094	36.1025
Shi Tomasi	46	50	36.0943	36.0877
Shi Tomasi	47	50	36.2698	36.2634
Shi Tomasi	48	50	36.3733	36.3671
Shi Tomasi	49	50	36.8503	36.8442
Shi Tomasi	50	50	37.3945	37.3868
Shi Tomasi	51	50	37.4264	37.4187
Shi Tomasi	52	50	37.4976	37.4912
Shi Tomasi	53	50	37.4851	37.4788
Shi Tomasi	54	50	37.8814	37.8749
Shi Tomasi	55	50	38.5752	38.569
Shi Tomasi	56	50	37.301	37.2941
Shi Tomasi	57	50	38.2494	38.2419
Shi Tomasi	58	50	39.1536	39.1467
Shi Tomasi	59	49	40.1811	40.1742
Shi Tomasi	60	49	40.7528	40.7461
Shi Tomasi	61	49	39.0246	39.0162
Shi Tomasi	62	48	38.1336	38.1268
Shi Tomasi	63	48	38.0411	38.0343
Shi Tomasi	64	48	38.5367	38.5298
Shi Tomasi	65	46	40.8341	40.8259
Shi Tomasi	66	43	36.1994	36.1922
Shi Tomasi	67	41	34.4893	34.4826
Shi Tomasi	68	41	34.7477	34.7391
Shi Tomasi	69	40	39.3271	39.3204
Shi Tomasi	70	40	36.4965	36.4894
Shi Tomasi	71	40	35.6439	35.6375
Shi Tomasi	72	39	33.5236	33.5169
Shi Tomasi	73	39	33.7754	33.7678
Shi Tomasi	74	37	32.9774	32.9709
Shi Tomasi	75	36	31.4396	31.4331
Shi Tomasi	76	36	31.9617	31.9553
Shi Tomasi	77	36	31.3118	31.3049
Shi Tomasi	78	36	31.3812	31.3737
Shi Tomasi	79	36	32.3958	32.3886
Shi Tomasi	80	36	32.1932	32.1869
Shi Tomasi	81	36	33.5659	33.5592
Shi Tomasi	82	36	31.1699	31.1625
Shi Tomasi	83	36	34.4769	34.4697
Shi Tomasi	84	36	32.2444	32.2377
Shi Tomasi	85	36	31.9797	31.9722
Shi Tomasi	86	36	32.512	32.5043
Shi Tomasi	87	36	32.2783	32.2718
Shi Tomasi	88	36	31.8516	31.8447
Shi Tomasi	89	33	34.6715	34.6637
Shi Tomasi	90	31	30.0197	30.012
Shi Tomasi	91	30	30.0253	30.0161
Shi Tomasi	92	30	28.4141	28.4041
Shi Tomasi	93	30	30.0564	30.0484
Shi Tomasi	94	30	33.3386	33.3316
Shi Tomasi	95	25	35.0474	35.0405
Shi Tomasi	96	20	27.7414	27.7319
Shi Tomasi	97	15	24.161	24.1514
Shi Tomasi	98	12	20.3633	20.3546
Shi Tomasi	99	8	20.6775	20.6689
Shi Tomasi	100	7	18.6585	18.651
Shi Tomasi	101	7	18.1925	18.1858
Shi Tomasi	102	7	17.2906	17.2812
Shi Tomasi	103	7	18.2545	18.247
Shi Tomasi	104	7	17.4005	17.3917
Shi Tomasi	105	7	18.418	18.4106
Shi Tomasi	106	5	19.9487	19.9392
Shi Tomasi	107	4	18.661	18.6528
Shi Tomasi	108	2	17.3821	17.3748
Shi Tomasi	109	1	14.7422	14.734
Shi Tomasi	110	1	15.2715	15.2644
Shi Tomasi	111	1	14.2745	14.2672
Shi Tomasi	112	1	15.1219	15.1149
Shi Tomasi	113	1	14.3314	14.3228
Shi Tomasi	114	1	15.1866	15.1794
Shi Tomasi	115	1	14.3954	14.388
Shi Tomasi	116	1	15.2712	15.2641
Shi Tomasi	117	1	14.2755	14.267
Shi Tomasi	118	1	15.1894	15.1821
Shi Tomasi	119	1	14.3672	14.3586
Shi Tomasi	120	1	15.2506	15.2434
Shi Tomasi	121	1	14.0023	13.9949
Shi Tomasi	122	1	12.9212	12.9152
Shi Tomasi	123	1	12.8897	12.8833
Shi Tomasi	124	1	13.079	13.0719
Shi Tomasi	125	1	12.8939	12.8871
Shi Tomasi	126	1	13.043	13.036
Shi Tomasi	127	1	12.8436	12.8372
Shi Tomasi	128	1	12.8898	12.8836
Shi Tomasi	129	1	12.9568	12.9495
Shi Tomasi	130	1	12.9236	12.9177
Shi Tomasi	131	1	12.9814	12.9742
Shi Tomasi	132	1	12.9847	12.9773
Shi Tomasi	133	1	12.898	12.8909
Shi Tomasi	134	1	12.9887	12.9821
Shi Tomasi	135	1	12.9384	12.9318
Shi Tomasi	136	1	12.9195	12.9127
Shi Tomasi	137	1	12.9397	12.9336
Shi Tomasi	138	1	12.9162	12.9089
Shi Tomasi	139	1	13.0027	12.9961
Shi Tomasi	140	1	12.9794	12.9737
Shi Tomasi	141	1	13.1097	13.1033
Shi Tomasi	142	1	12.9398	12.9335
Shi Tomasi	143	1	12.8945	12.8873
Shi Tomasi	144	1	12.9269	12.9206
Shi Tomasi	145	1	12.9265	12.92
Shi Tomasi	146	1	12.9755	12.9695
