Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Harris	200	30	0	15.9349	15.9257	0.00525
Harris	201	30	0	14.9379	14.9289	0.003792
Harris	202	30	0	30.2804	30.2721	0.004333
Harris	203	26	4	50.5005	28.8529	21.6402
Harris	204	28	2	33.4151	16.5718	16.8365
Harris	205	29	1	35.476	16.278	19.1918
Harris	206	30	0	15.9538	15.9436	0.004667
Harris	207	30	0	15.9818	15.9731	0.004417
Harris	208	29	1	33.5693	16.7603	16.8038
Harris	209	30	0	15.8674	15.855	0.007459
Harris	210	30	0	16.0472	16.0382	0.003792
Harris	211	30	0	16.1435	16.1351	0.00325
Harris	212	30	0	15.6936	15.6861	0.003292
Harris	213	30	0	15.5628	15.555	0.00325
Harris	214	30	0	15.2797	15.2714	0.003334
Harris	215	30	0	20.7442	20.7357	0.00325
Harris	216	29	1	44.433	20.6249	23.8018
Harris	217	29	1	34.3424	17.3333	17.0028
Harris	218	29	1	41.3403	24.4725	16.8627
Harris	219	30	0	18.4173	18.4059	0.0055
Harris	220	29	1	34.1646	17.1436	17.0153
Harris	221	29	1	40.1898	19.3949	20.7877
Harris	222	28	2	39.5111	22.5645	16.9398
Harris	223	29	1	32.0393	15.1802	16.8537
Harris	224	30	0	17.3328	17.3198	0.006167
Harris	225	28	2	33.4803	16.4395	17.035
Harris	226	29	1	32.9833	16.1166	16.8606
Harris	227	29	1	38.3459	19.0041	19.3345
Harris	228	27	3	33.4871	16.6493	16.8325
Harris	229	29	1	34.6122	17.5918	17.015
Harris	230	29	1	37.9507	17.7572	20.1862
Harris	231	28	2	39.3978	22.3961	16.9961
Harris	232	28	2	41.9853	25.1761	16.8039
Harris	233	29	1	34.2879	17.5504	16.7301
Harris	234	30	0	15.3792	15.3701	0.004042
Harris	235	30	0	15.6334	15.6261	0.003167
Harris	236	30	0	15.3145	15.3065	0.003792
Harris	237	30	0	15.6437	15.6357	0.003542
Harris	238	30	0	15.5467	15.5393	0.003458
Harris	239	30	0	15.4425	15.4349	0.003208
Harris	240	30	0	14.841	14.8329	0.003708
Harris	241	30	0	15.8491	15.8388	0.005292
Harris	242	30	0	15.2224	15.2119	0.004334
Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Shi Tomasi	0	30	0	10.3281	10.3202	0.00375
Shi Tomasi	1	29	1	39.8985	18.2656	21.6272
Shi Tomasi	2	30	0	16.8136	16.8044	0.004708
Shi Tomasi	3	29	1	51.6967	29.8917	21.7984
Shi Tomasi	4	28	2	35.2076	16.703	18.4977
Shi Tomasi	5	29	1	33.8492	15.4454	18.3983
Shi Tomasi	6	30	0	15.3711	15.3619	0.004208
Shi Tomasi	7	30	0	14.9715	14.9637	0.003541
Shi Tomasi	8	30	0	15.1153	15.108	0.003042
Shi Tomasi	9	30	0	15.6504	15.6413	0.004041
Shi Tomasi	10	30	0	16.7518	16.7439	0.003584
Shi Tomasi	11	29	1	41.7981	22.8996	18.8917
Shi Tomasi	12	30	0	15.4594	15.4511	0.00375
Shi Tomasi	13	30	0	18.4583	18.4508	0.003208
Shi Tomasi	14	30	0	21.394	21.3864	0.003375
Shi Tomasi	15	30	0	15.0299	15.0229	0.003042
Shi Tomasi	16	30	0	15.6078	15.5941	0.00725
Shi Tomasi	17	30	0	17.7676	17.7577	0.004125
Shi Tomasi	18	30	0	19.8495	19.8419	0.003208
Shi Tomasi	19	30	0	15.9101	15.9018	0.003417
Shi Tomasi	20	30	0	15.2075	15.199	0.003708
Shi Tomasi	21	30	0	16.1159	16.1054	0.005292
Shi Tomasi	22	30	0	16.602	16.5933	0.003542
Shi Tomasi	23	30	0	14.7549	14.7463	0.004375
Shi Tomasi	24	30	0	14.7553	14.7475	0.003417
Shi Tomasi	25	30	0	16.0821	16.0747	0.003042
Shi Tomasi	26	30	0	16.3306	16.3226	0.0035
Shi Tomasi	27	30	0	14.9776	14.9684	0.004125
Shi Tomasi	28	30	0	15.0598	15.0527	0.003292
Shi Tomasi	29	30	0	15.3771	15.3684	0.003042
Shi Tomasi	30	30	0	15.7592	15.7517	0.003334
Shi Tomasi	31	30	0	16.5146	16.5042	0.004167
Shi Tomasi	32	30	0	23.7733	23.7656	0.003667
Shi Tomasi	33	24	6	42.093	19.0514	23.0353
Shi Tomasi	34	28	2	32.8441	14.871	17.9657
Shi Tomasi	35	29	1	32.6112	14.3802	18.2261
Shi Tomasi	36	30	0	19.5352	19.5268	0.003916
Shi Tomasi	37	26	4	46.4175	25.2324	21.1754
Shi Tomasi	38	27	3	42.8393	24.8904	17.9436
Shi Tomasi	39	25	5	46.3412	24.9689	21.3635
Shi Tomasi	40	24	6	34.0566	16.1598	17.8915
Shi Tomasi	41	27	3	37.263	15.0021	22.2557
Shi Tomasi	42	29	1	35.4134	17.5021	17.905
Shi Tomasi	43	30	0	20.8334	20.8242	0.004541
Shi Tomasi	44	30	0	14.6459	14.6385	0.003209
Shi Tomasi	45	29	1	36.7083	16.3429	20.3577
Shi Tomasi	46	30	0	15.3284	15.3201	0.00375
Shi Tomasi	47	30	0	14.9073	14.9	0.003333
Shi Tomasi	48	30	0	14.7477	14.74	0.003125
Shi Tomasi	49	30	0	15.0711	15.0638	0.003042
Shi Tomasi	50	30	0	15.6914	15.68	0.005667
Shi Tomasi	51	30	0	16.0845	16.075	0.003875
Shi Tomasi	52	30	0	15.1054	15.0986	0.003041
Shi Tomasi	53	30	0	15.8583	15.8505	0.004
Shi Tomasi	54	30	0	15.0313	15.0228	0.003792
Shi Tomasi	55	30	0	23.1363	23.126	0.005125
Shi Tomasi	56	29	1	35.7457	17.8728	17.8665
Shi Tomasi	57	30	0	15.0126	15.004	0.004417
Shi Tomasi	58	30	0	14.8262	14.8183	0.003416
Shi Tomasi	59	30	0	14.5619	14.555	0.002916
Shi Tomasi	60	30	0	16.3912	16.3783	0.007125
Shi Tomasi	61	30	0	16.509	16.4998	0.00375
Shi Tomasi	62	30	0	15.8448	15.8361	0.003583
Shi Tomasi	63	30	0	17.3873	17.3794	0.003834
Shi Tomasi	64	30	0	20.9514	20.9409	0.005834
Shi Tomasi	65	30	0	23.7482	23.7373	0.004292
Shi Tomasi	66	30	0	16.9121	16.9021	0.005959
Shi Tomasi	67	30	0	16.7908	16.7803	0.005167
Shi Tomasi	68	30	0	16.8969	16.8878	0.003458
Shi Tomasi	69	30	0	15.6232	15.6149	0.00375
Shi Tomasi	70	30	0	15.2528	15.2447	0.003958
Shi Tomasi	71	30	0	16.1836	16.1706	0.007417
Shi Tomasi	72	30	0	16.867	16.8562	0.00475
Shi Tomasi	73	30	0	16.0224	16.0151	0.003542
Shi Tomasi	74	30	0	15.2239	15.2165	0.003375
Shi Tomasi	75	30	0	15.484	15.4759	0.003333
Shi Tomasi	76	30	0	16.3883	16.3777	0.004875
Shi Tomasi	77	30	0	17.9959	17.9866	0.004
Shi Tomasi	78	29	1	34.9863	17.1	17.881
Shi Tomasi	79	30	0	17.5631	17.5513	0.006333
Shi Tomasi	80	30	0	18.7588	18.7492	0.004208
Shi Tomasi	81	30	0	16.1201	16.1111	0.004334
Shi Tomasi	82	30	0	17.5074	17.4992	0.003542
Shi Tomasi	83	30	0	18.4567	18.4461	0.005083
Shi Tomasi	84	29	1	36.0431	18.07	17.9668
Shi Tomasi	85	29	1	33.2276	15.402	17.8202
Shi Tomasi	86	30	0	15.4309	15.4218	0.004708
Shi Tomasi	87	27	3	44.2093	23.0351	21.1682
Shi Tomasi	88	28	2	31.9446	14.1501	17.7887
Shi Tomasi	89	29	1	32.7814	14.8444	17.931
Shi Tomasi	90	30	0	20.6294	20.6129	0.0095
Shi Tomasi	91	30	0	18.7747	18.7655	0.003875
Shi Tomasi	92	30	0	15.3424	15.335	0.00325
Shi Tomasi	93	30	0	15.3169	15.3081	0.004834
Shi Tomasi	94	30	0	15.3527	15.3449	0.003292
Shi Tomasi	95	30	0	19.1374	19.1268	0.004666
Shi Tomasi	96	30	0	19.7874	19.7787	0.0035
Shi Tomasi	97	30	0	19.7849	19.7774	0.003334
Shi Tomasi	98	29	1	35.36	14.7768	20.5764
Shi Tomasi	99	30	0	17.7135	17.7007	0.006542
Shi Tomasi	100	25	5	38.3177	20.4317	17.8802
Shi Tomasi	101	28	2	35.1981	17.0247	18.1681
Shi Tomasi	102	29	1	37.4705	17.0369	20.4262
Shi Tomasi	103	30	0	20.388	20.378	0.005167
Shi Tomasi	104	28	2	35.2524	17.2824	17.964
Shi Tomasi	105	25	5	41.8263	21.805	20.014
Shi Tomasi	106	26	4	37.2229	19.3125	17.9052
Shi Tomasi	107	27	3	35.8038	17.9185	17.8795
Shi Tomasi	108	29	1	42.4441	22.1627	20.2727
Shi Tomasi	109	29	1	36.8767	18.9367	17.935
